depth,age
0.0,0.0
11.2,0.7547560975609757
39.7,2.7140594059405942
68.21,4.620882703777336
90.2,5.755823170731707
96.7,5.950030487804878
102.7,6.420153846153847
109.2,7.519568965517242
112.2,7.700603448275862
115.7,7.911810344827586
121.7,8.539278846153845
128.2,9.608028846153843
131.2,10.030920353982298
134.7,10.457115044247784
139.2,11.005079646017697
142.31,11.383784070796459
144.2,11.61392920353982
147.2,11.979238938053093
150.2,12.344548672566368
153.7,12.770743362831855
156.7,13.13605309734513
158.2,13.29
161.2,13.672758620689653
163.2,14.14862068965517
164.7,14.505517241379307
166.2,14.862413793103444
169.2,15.099143546441494
174.68,15.469324487334138
177.68,15.671978287092884
182.2,15.977310012062725
188.2,16.382617611580216
196.2,16.923027744270204
199.2,17.12568154402895
202.88,17.374270205066345
208.5,17.752739726027396
210.7,17.897397260273973
213.7,18.042271844660192
214.92,18.09344077669903
220.2,18.314893203883493
223.2,18.44071844660194
224.7,18.503631067961166
229.69,18.712920388349517
231.2,18.776252427184467
233.7,18.881106796116505
239.2,19.46860534124629
240.7,19.805994065281897
243.7,20.480771513353115
248.7,21.60540059347181
251.7,22.280178041543024
258.2,22.988823529411764
264.2,23.235882352941175
